id,n_predict,run_date,prediction,metric,signal,accuracy,avg_abs_accuracy
545.0,30,2025-01-01T00:00:00.000,42.086,-0.914,-1,0.772,0.94
997.0,30,2025-01-01T00:00:00.000,42.228,-0.772,-1,0.681,0.923
461.0,60,2025-01-01T00:00:00.000,40.166,-2.834,-1,0.645,0.898
544.0,60,2025-01-01T00:00:00.000,42.318,-0.682,-1,0.689,0.894
543.0,90,2025-01-01T00:00:00.000,42.201,-0.799,-1,0.63,0.856
990.0,180,2025-01-01T00:00:00.000,42.437,-0.563,-1,0.596,0.747
991.0,180,2025-01-01T00:00:00.000,44.227,1.227,1,0.619,0.736
541.0,270,2025-01-01T00:00:00.000,36.661,-6.339,-1,0.462,0.712
1315.0,360,2025-01-01T00:00:00.000,48.309,5.309,1,0.343,0.563
1312.0,450,2025-01-01T00:00:00.000,47.329,4.329,1,0.465,0.517
1313.0,450,2025-01-01T00:00:00.000,51.506,8.506,1,0.473,0.517
